Y,U,czas
0.938979,0.0616533,0.0345,
0.939541,0.0610858,0.0346,
0.940097,0.0605235,0.0347,
0.940649,0.0599663,0.0348,
0.941195,0.0594143,0.0349,
0.941736,0.0588674,0.035,
0.942273,0.0583254,0.0351,
0.942804,0.0577885,0.0352,
0.943331,0.0572565,0.0353,
0.943852,0.0567294,0.0354,
0.944369,0.0562072,0.0355,
0.944881,0.0556898,0.0356,
0.945389,0.0551771,0.0357,
0.945892,0.0546691,0.0358,
0.94639,0.0541658,0.0359,
0.946883,0.0536672,0.036,
0.947372,0.0531731,0.0361,
0.947857,0.0526836,0.0362,
0.948337,0.0521986,0.0363,
0.948812,0.051718,0.0364,
0.949284,0.0512419,0.0365,
0.949751,0.0507701,0.0366,
0.950213,0.0503027,0.0367,
0.950672,0.0498396,0.0368,
0.951126,0.0493808,0.0369,
0.951576,0.0489262,0.037,
0.952022,0.0484757,0.0371,
0.952463,0.0480294,0.0372,
0.952901,0.0475872,0.0373,
0.953335,0.0471491,0.0374,
0.953764,0.046715,0.0375,
0.95419,0.046285,0.0376,
0.954612,0.0458588,0.0377,
0.955029,0.0454366,0.0378,
0.955443,0.0450183,0.0379,
0.955854,0.0446038,0.038,
0.95626,0.0441932,0.0381,
0.956663,0.0437863,0.0382,
0.957062,0.0433831,0.0383,
0.957457,0.0429837,0.0384,
0.957849,0.042588,0.0385,
0.958237,0.0421959,0.0386,
0.958621,0.0418074,0.0387,
0.959002,0.0414225,0.0388,
0.95938,0.0410411,0.0389,
0.959754,0.0406632,0.039,
0.960124,0.0402888,0.0391,
0.960492,0.0399179,0.0392,
0.960855,0.0395504,0.0393,
0.961216,0.0391862,0.0394,
0.961573,0.0388254,0.0395,
0.961927,0.038468,0.0396,
0.962277,0.0381138,0.0397,
0.962625,0.0377629,0.0398,
0.962969,0.0374152,0.0399,
0.96331,0.0370707,0.04,
0.963647,0.0367294,0.0401,
0.963982,0.0363912,0.0402,
0.964314,0.0360561,0.0403,
0.964642,0.0357241,0.0404,
0.964968,0.0353952,0.0405,
0.96529,0.0350693,0.0406,
0.96561,0.0347464,0.0407,
0.965927,0.0344265,0.0408,
0.96624,0.0341095,0.0409,
0.966551,0.0337955,0.041,
0.966859,0.0334843,0.0411,
0.967164,0.033176,0.0412,
0.967467,0.0328705,0.0413,
0.967766,0.0325679,0.0414,
0.968063,0.032268,0.0415,
0.968357,0.0319709,0.0416,
0.968648,0.0316765,0.0417,
0.968937,0.0313849,0.0418,
0.969223,0.0310959,0.0419,
0.969506,0.0308096,0.042,
0.969787,0.0305259,0.0421,
0.970065,0.0302449,0.0422,
0.970341,0.0299664,0.0423,
0.970614,0.0296905,0.0424,
0.970885,0.0294171,0.0425,
0.971153,0.0291462,0.0426,
0.971418,0.0288779,0.0427,
0.971682,0.028612,0.0428,
