x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-9.460000E+00,+482.412E-03,+43.417E-03,-104.523E-03,-603.015E-03
-9.455000E+00,+402.010E-03,+72.362E-03,-88.442E-03,-603.015E-03
-9.450000E+00,+603.015E-03,+72.362E-03,-120.603E-03,-603.015E-03
-9.445000E+00,+643.216E-03,+0.0E+00,-72.362E-03,-603.015E-03
-9.440000E+00,+723.618E-03,+0.0E+00,-80.402E-03,-603.015E-03
-9.435000E+00,+723.618E-03,+28.945E-03,-80.402E-03,-683.417E-03
-9.430000E+00,+804.020E-03,+0.0E+00,-80.402E-03,-643.216E-03
-9.425000E+00,+804.020E-03,+0.0E+00,-80.402E-03,-603.015E-03
-9.420000E+00,+804.020E-03,+0.0E+00,-48.241E-03,-643.216E-03
-9.415000E+00,+1.005025E+00,+0.0E+00,-80.402E-03,-804.020E-03
-9.410000E+00,+924.623E-03,+0.0E+00,-80.402E-03,-804.020E-03
-9.405000E+00,+804.020E-03,+72.362E-03,-120.603E-03,-804.020E-03
-9.400000E+00,+804.020E-03,+72.362E-03,-160.804E-03,-804.020E-03
-9.395000E+00,+804.020E-03,+130.251E-03,-160.804E-03,-804.020E-03
-9.390000E+00,+804.020E-03,+72.362E-03,-136.683E-03,-804.020E-03
-9.385000E+00,+804.020E-03,+72.362E-03,-160.804E-03,-804.020E-03
-9.380000E+00,+1.005025E+00,+72.362E-03,-152.764E-03,-844.221E-03
-9.375000E+00,+1.206030E+00,+72.362E-03,-120.603E-03,-804.020E-03
-9.370000E+00,+1.206030E+00,+57.889E-03,-120.603E-03,-1.005025E+00
-9.365000E+00,+1.206030E+00,+72.362E-03,-120.603E-03,-1.005025E+00
-9.360000E+00,+1.326633E+00,+72.362E-03,-104.523E-03,-1.005025E+00
-9.355000E+00,+1.246231E+00,+57.889E-03,-120.603E-03,-1.005025E+00
-9.350000E+00,+1.407035E+00,+72.362E-03,-120.603E-03,-1.005025E+00
-9.345000E+00,+1.447236E+00,+57.889E-03,-120.603E-03,-1.005025E+00
-9.340000E+00,+1.527638E+00,+43.417E-03,-120.603E-03,-1.085427E+00
-9.335000E+00,+1.608040E+00,+72.362E-03,-120.603E-03,-1.125628E+00
-9.330000E+00,+1.608040E+00,+57.889E-03,-120.603E-03,-1.005025E+00
-9.325000E+00,+1.608040E+00,+72.362E-03,-120.603E-03,-1.005025E+00
-9.320000E+00,+1.567839E+00,+86.834E-03,-160.804E-03,-1.206030E+00
-9.315000E+00,+1.608040E+00,+72.362E-03,-144.724E-03,-1.206030E+00
-9.310000E+00,+1.809045E+00,+0.0E+00,-80.402E-03,-1.206030E+00
-9.305000E+00,+1.969849E+00,+0.0E+00,-112.563E-03,-1.246231E+00
-9.300000E+00,+1.809045E+00,+72.362E-03,-120.603E-03,-1.206030E+00
-9.295000E+00,+1.768844E+00,+86.834E-03,-168.844E-03,-1.206030E+00
-9.290000E+00,+1.809045E+00,+72.362E-03,-160.804E-03,-1.206030E+00
-9.285000E+00,+1.688442E+00,+115.779E-03,-184.925E-03,-1.286432E+00
