x-axis,1,2,3
second,Volt,Volt,Volt
+1.49400E+00,+2.97217E+00,+2.78772E+00,+179.18E-03
+1.50600E+00,+2.97217E+00,+2.79777E+00,+187.83E-03
+1.51800E+00,+2.96212E+00,+2.78772E+00,+187.83E-03
+1.53000E+00,+2.98222E+00,+2.78772E+00,+187.83E-03
+1.54200E+00,+2.97217E+00,+2.78772E+00,+179.18E-03
+1.55400E+00,+2.97217E+00,+2.78772E+00,+187.83E-03
+1.56600E+00,+2.98222E+00,+2.79777E+00,+187.83E-03
+1.57800E+00,+2.98222E+00,+2.78772E+00,+179.18E-03
+1.59000E+00,+2.98222E+00,+2.79777E+00,+187.83E-03
+1.60200E+00,+2.97217E+00,+2.79777E+00,+170.54E-03
+1.61400E+00,+2.97217E+00,+2.79777E+00,+179.18E-03
+1.62600E+00,+2.98222E+00,+2.79777E+00,+179.18E-03
+1.63800E+00,+2.98222E+00,+2.79777E+00,+179.18E-03
+1.65000E+00,+2.98222E+00,+2.79777E+00,+187.83E-03
+1.66200E+00,+2.97217E+00,+2.78772E+00,+187.83E-03
+1.67400E+00,+2.97217E+00,+2.79777E+00,+187.83E-03
+1.68600E+00,+2.98222E+00,+2.79777E+00,+187.83E-03
+1.69800E+00,+2.98222E+00,+2.78772E+00,+196.47E-03
+1.71000E+00,+2.98222E+00,+2.78772E+00,+179.18E-03
+1.72200E+00,+2.97217E+00,+2.78772E+00,+179.18E-03
+1.73400E+00,+2.97217E+00,+2.79777E+00,+187.83E-03
+1.74600E+00,+2.98222E+00,+2.77767E+00,+187.83E-03
+1.75800E+00,+2.97217E+00,+2.78772E+00,+179.18E-03
+1.77000E+00,+2.98222E+00,+2.79777E+00,+187.83E-03
+1.78200E+00,+2.98222E+00,+2.77767E+00,+187.83E-03
+1.79400E+00,+2.97217E+00,+2.79777E+00,+170.54E-03
+1.80600E+00,+2.97217E+00,+2.78772E+00,+179.18E-03
+1.81800E+00,+2.97217E+00,+2.79777E+00,+170.54E-03
+1.83000E+00,+2.98222E+00,+2.78772E+00,+187.83E-03
+1.84200E+00,+2.97217E+00,+2.79777E+00,+179.18E-03
+1.85400E+00,+2.97217E+00,+2.79777E+00,+179.18E-03
+1.86600E+00,+2.97217E+00,+2.79777E+00,+179.18E-03
+1.87800E+00,+2.98222E+00,+2.78772E+00,+179.18E-03
+1.89000E+00,+2.97217E+00,+2.79777E+00,+179.18E-03
+1.90200E+00,+2.97217E+00,+2.79777E+00,+179.18E-03
+1.91400E+00,+2.98222E+00,+2.78772E+00,+187.83E-03
+1.92600E+00,+2.98222E+00,+2.78772E+00,+170.54E-03
+1.93800E+00,+2.98222E+00,+2.79777E+00,+187.83E-03
+1.95000E+00,+2.98222E+00,+2.79777E+00,+179.18E-03
+1.96200E+00,+2.97217E+00,+2.77767E+00,+187.83E-03
+1.97400E+00,+2.97217E+00,+2.79777E+00,+187.83E-03
+1.98600E+00,+2.98222E+00,+2.78772E+00,+170.54E-03
+1.99800E+00,+2.98222E+00,+2.78772E+00,+170.54E-03
+2.01000E+00,+2.97217E+00,+2.78772E+00,+179.18E-03
+2.02200E+00,+2.97217E+00,+2.79777E+00,+187.83E-03
+2.03400E+00,+2.97217E+00,+2.79777E+00,+170.54E-03
+2.04600E+00,+2.05760E+00,+2.77767E+00,-728.35E-03
+2.05800E+00,+2.04755E+00,+2.77767E+00,-693.78E-03
+2.07000E+00,+2.05760E+00,+2.73747E+00,-676.49E-03
+2.08200E+00,+2.05760E+00,+2.70732E+00,-624.63E-03
+2.09400E+00,+2.05760E+00,+2.66712E+00,-598.70E-03
+2.10600E+00,+2.05760E+00,+2.63697E+00,-564.13E-03
+2.11800E+00,+2.05760E+00,+2.60682E+00,-538.20E-03
+2.13000E+00,+2.05760E+00,+2.55656E+00,-486.34E-03
+2.14200E+00,+2.05760E+00,+2.50631E+00,-443.13E-03
+2.15400E+00,+2.05760E+00,+2.47616E+00,-408.55E-03
+2.16600E+00,+2.05760E+00,+2.45606E+00,-382.62E-03
+2.17800E+00,+2.05760E+00,+2.40581E+00,-339.41E-03
+2.19000E+00,+2.05760E+00,+2.36561E+00,-304.84E-03
+2.20200E+00,+2.05760E+00,+2.33546E+00,-278.91E-03
+2.21400E+00,+2.05760E+00,+2.30531E+00,-227.05E-03
+2.22600E+00,+2.05760E+00,+2.27516E+00,-218.40E-03
+2.23800E+00,+2.05760E+00,+2.24501E+00,-175.19E-03
+2.25000E+00,+2.05760E+00,+2.22491E+00,-157.90E-03
+2.26200E+00,+2.05760E+00,+2.20481E+00,-140.61E-03
+2.27400E+00,+2.05760E+00,+2.17465E+00,-106.04E-03
+2.28600E+00,+2.05760E+00,+2.15455E+00,-97.40E-03
+2.29800E+00,+2.05760E+00,+2.12440E+00,-71.47E-03
+2.31000E+00,+2.05760E+00,+2.12440E+00,-62.83E-03
+2.32200E+00,+2.05760E+00,+2.11435E+00,-36.90E-03
+2.33400E+00,+2.03750E+00,+2.08420E+00,-28.25E-03
+2.34600E+00,+2.04755E+00,+2.06410E+00,-10.97E-03
+2.35800E+00,+2.05760E+00,+2.05405E+00,+14.96E-03
+2.37000E+00,+2.05760E+00,+2.04400E+00,+14.96E-03
+2.38200E+00,+2.05760E+00,+2.03395E+00,+14.96E-03
+2.39400E+00,+2.05760E+00,+2.03395E+00,+32.25E-03
+2.40600E+00,+2.05760E+00,+2.01385E+00,+40.89E-03
+2.41800E+00,+2.05760E+00,+2.01385E+00,+40.89E-03
+2.43000E+00,+2.05760E+00,+2.00380E+00,+49.54E-03
+2.44200E+00,+2.05760E+00,+1.99375E+00,+66.82E-03
+2.45400E+00,+2.05760E+00,+1.99375E+00,+75.47E-03
+2.46600E+00,+2.05760E+00,+1.99375E+00,+75.47E-03
+2.47800E+00,+2.05760E+00,+1.97365E+00,+84.11E-03
+2.49000E+00,+2.05760E+00,+1.97365E+00,+92.75E-03
+2.50200E+00,+2.05760E+00,+1.97365E+00,+92.75E-03
+2.51400E+00,+2.05760E+00,+1.96360E+00,+84.11E-03
+2.52600E+00,+2.05760E+00,+1.96360E+00,+101.40E-03
+2.53800E+00,+2.05760E+00,+1.95355E+00,+101.40E-03
+2.55000E+00,+2.05760E+00,+1.95355E+00,+101.40E-03
+2.56200E+00,+2.05760E+00,+1.95355E+00,+101.40E-03
+2.57400E+00,+2.05760E+00,+1.94350E+00,+118.68E-03
+2.58600E+00,+2.04755E+00,+1.93345E+00,+110.04E-03
+2.59800E+00,+2.06765E+00,+1.93345E+00,+118.68E-03
+2.61000E+00,+2.05760E+00,+1.92340E+00,+118.68E-03
+2.62200E+00,+2.12795E+00,+1.91335E+00,+265.62E-03
+2.63400E+00,+2.05760E+00,+1.93345E+00,+135.97E-03
+2.64600E+00,+2.05760E+00,+1.92340E+00,+135.97E-03
+2.65800E+00,+2.05760E+00,+1.91335E+00,+127.33E-03
+2.67000E+00,+2.06765E+00,+1.92340E+00,+127.33E-03
+2.68200E+00,+2.05760E+00,+1.92340E+00,+135.97E-03
+2.69400E+00,+2.05760E+00,+1.92340E+00,+135.97E-03
+2.70600E+00,+2.05760E+00,+1.93345E+00,+135.97E-03
+2.71800E+00,+2.05760E+00,+1.91335E+00,+144.61E-03
+2.73000E+00,+2.05760E+00,+1.92340E+00,+127.33E-03
+2.74200E+00,+2.05760E+00,+1.91335E+00,+153.26E-03
+2.75400E+00,+2.05760E+00,+1.91335E+00,+135.97E-03
+2.76600E+00,+2.05760E+00,+1.92340E+00,+135.97E-03
+2.77800E+00,+2.05760E+00,+1.90330E+00,+153.26E-03
+2.79000E+00,+2.04755E+00,+1.91335E+00,+144.61E-03
+2.80200E+00,+2.05760E+00,+1.91335E+00,+144.61E-03
+2.81400E+00,+2.05760E+00,+1.90330E+00,+153.26E-03
+2.82600E+00,+2.06765E+00,+1.91335E+00,+135.97E-03
+2.83800E+00,+2.05760E+00,+1.92340E+00,+135.97E-03
+2.85000E+00,+2.05760E+00,+1.90330E+00,+144.61E-03
+2.86200E+00,+2.05760E+00,+1.90330E+00,+153.26E-03
+2.87400E+00,+2.05760E+00,+1.91335E+00,+135.97E-03
+2.88600E+00,+2.04755E+00,+1.91335E+00,+144.61E-03
+2.89800E+00,+2.06765E+00,+1.91335E+00,+153.26E-03
+2.91000E+00,+2.05760E+00,+1.91335E+00,+153.26E-03
+2.92200E+00,+2.05760E+00,+1.91335E+00,+144.61E-03
+2.93400E+00,+2.05760E+00,+1.90330E+00,+153.26E-03
+2.94600E+00,+2.04755E+00,+1.92340E+00,+144.61E-03
+2.95800E+00,+2.04755E+00,+1.90330E+00,+153.26E-03
+2.97000E+00,+2.05760E+00,+1.91335E+00,+153.26E-03
+2.98200E+00,+2.05760E+00,+1.92340E+00,+144.61E-03
+2.99400E+00,+2.05760E+00,+1.91335E+00,+153.26E-03
+3.00600E+00,+2.05760E+00,+1.90330E+00,+161.90E-03
+3.01800E+00,+2.04755E+00,+1.91335E+00,+144.61E-03
+3.03000E+00,+2.05760E+00,+1.91335E+00,+153.26E-03
+3.04200E+00,+2.05760E+00,+1.90330E+00,+153.26E-03
+3.05400E+00,+2.04755E+00,+1.91335E+00,+144.61E-03
+3.06600E+00,+2.05760E+00,+1.90330E+00,+153.26E-03
+3.07800E+00,+2.05760E+00,+1.90330E+00,+144.61E-03
+3.09000E+00,+2.05760E+00,+1.91335E+00,+144.61E-03
+3.10200E+00,+2.05760E+00,+1.90330E+00,+153.26E-03
+3.11400E+00,+2.05760E+00,+1.90330E+00,+144.61E-03
+3.12600E+00,+2.05760E+00,+1.91335E+00,+153.26E-03
+3.13800E+00,+2.04755E+00,+1.90330E+00,+153.26E-03
+3.15000E+00,+2.05760E+00,+1.90330E+00,+153.26E-03
+3.16200E+00,+2.04755E+00,+1.90330E+00,+153.26E-03
+3.17400E+00,+2.04755E+00,+1.90330E+00,+153.26E-03
+3.18600E+00,+2.05760E+00,+1.91335E+00,+153.26E-03
+3.19800E+00,+2.05760E+00,+1.91335E+00,+144.61E-03
+3.21000E+00,+2.05760E+00,+1.90330E+00,+135.97E-03
+3.22200E+00,+2.04755E+00,+1.90330E+00,+153.26E-03
+3.23400E+00,+2.05760E+00,+1.91335E+00,+153.26E-03
+3.24600E+00,+2.05760E+00,+1.90330E+00,+161.90E-03
+3.25800E+00,+2.05760E+00,+1.90330E+00,+153.26E-03
+3.27000E+00,+2.05760E+00,+1.90330E+00,+153.26E-03
